can_close_early,close_time,created_time,event_ticker,expected_expiration_time,expiration_time,expiration_value,floor_strike,fractional_trading_enabled,last_price_dollars,latest_expiration_time,liquidity_dollars,market_type,no_ask_dollars,no_bid_dollars,no_sub_title,notional_value_dollars,open_interest_fp,open_time,previous_price_dollars,previous_yes_ask_dollars,previous_yes_bid_dollars,price_level_structure,price_ranges,response_price_units,result,rules_primary,rules_secondary,settlement_timer_seconds,settlement_ts,settlement_value_dollars,status,strike_type,subtitle,tick_size,ticker,title,updated_time,volume_24h_fp,volume_fp,yes_ask_dollars,yes_ask_size_fp,yes_bid_dollars,yes_bid_size_fp,yes_sub_title,cap_strike
True,2026-03-30T22:00:00Z,2026-03-29T09:02:55.403778Z,KXBTC-26MAR3018,2026-03-30T22:05:00Z,2026-04-06T22:00:00Z,66759.15,75799.99,False,0.0000,2026-04-06T22:00:00Z,0.0000,binary,1.0000,0.0000,"$75,800 or above",1.0000,0.00,2026-03-30T21:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 6 PM EDT is above 75799.99 at 6 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T22:02:48.102244Z,0.0000,finalized,greater,"$75,800 or above",1,KXBTC-26MAR3018-T75799.99,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T22:02:48.281431Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,800 or above",
True,2026-03-30T22:00:00Z,2026-03-29T09:02:55.403778Z,KXBTC-26MAR3018,2026-03-30T22:05:00Z,2026-04-06T22:00:00Z,66759.15,,False,0.0100,2026-04-06T22:00:00Z,0.0000,binary,1.0000,0.0000,"$57,199.99 or below",1.0000,600.00,2026-03-30T21:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 6 PM EDT is below 57200 at 6 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T22:02:48.102244Z,0.0000,finalized,less,"$57,199.99 or below",1,KXBTC-26MAR3018-T57200,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T22:02:48.281431Z,600.00,600.00,1.0000,0.00,0.0000,0.00,"$57,199.99 or below",57200.0
True,2026-03-30T22:00:00Z,2026-03-29T09:02:55.403778Z,KXBTC-26MAR3018,2026-03-30T22:05:00Z,2026-04-06T22:00:00Z,66759.15,75700.0,False,0.0000,2026-04-06T22:00:00Z,0.0000,binary,1.0000,0.0000,"$75,700 to 75,799.99",1.0000,0.00,2026-03-30T21:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 6 PM EDT is between 75700-75799.99 at 6 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T22:02:48.102244Z,0.0000,finalized,between,"$75,700 to 75,799.99",1,KXBTC-26MAR3018-B75750,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T22:02:48.281431Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,700 to 75,799.99",75799.99
True,2026-03-30T22:00:00Z,2026-03-29T09:02:55.403778Z,KXBTC-26MAR3018,2026-03-30T22:05:00Z,2026-04-06T22:00:00Z,66759.15,75600.0,False,0.0000,2026-04-06T22:00:00Z,0.0000,binary,1.0000,0.0000,"$75,600 to 75,699.99",1.0000,0.00,2026-03-30T21:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 6 PM EDT is between 75600-75699.99 at 6 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T22:02:48.102244Z,0.0000,finalized,between,"$75,600 to 75,699.99",1,KXBTC-26MAR3018-B75650,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T22:02:48.281431Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,600 to 75,699.99",75699.99
True,2026-03-30T22:00:00Z,2026-03-29T09:02:55.403778Z,KXBTC-26MAR3018,2026-03-30T22:05:00Z,2026-04-06T22:00:00Z,66759.15,75500.0,False,0.0000,2026-04-06T22:00:00Z,0.0000,binary,1.0000,0.0000,"$75,500 to 75,599.99",1.0000,0.00,2026-03-30T21:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 6 PM EDT is between 75500-75599.99 at 6 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T22:02:48.102244Z,0.0000,finalized,between,"$75,500 to 75,599.99",1,KXBTC-26MAR3018-B75550,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T22:02:48.281431Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,500 to 75,599.99",75599.99
True,2026-03-30T22:00:00Z,2026-03-29T09:02:55.403778Z,KXBTC-26MAR3018,2026-03-30T22:05:00Z,2026-04-06T22:00:00Z,66759.15,75400.0,False,0.0000,2026-04-06T22:00:00Z,0.0000,binary,1.0000,0.0000,"$75,400 to 75,499.99",1.0000,0.00,2026-03-30T21:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 6 PM EDT is between 75400-75499.99 at 6 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T22:02:48.102244Z,0.0000,finalized,between,"$75,400 to 75,499.99",1,KXBTC-26MAR3018-B75450,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T22:02:48.281431Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,400 to 75,499.99",75499.99
True,2026-03-30T22:00:00Z,2026-03-29T09:02:55.403778Z,KXBTC-26MAR3018,2026-03-30T22:05:00Z,2026-04-06T22:00:00Z,66759.15,75300.0,False,0.0000,2026-04-06T22:00:00Z,0.0000,binary,1.0000,0.0000,"$75,300 to 75,399.99",1.0000,0.00,2026-03-30T21:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 6 PM EDT is between 75300-75399.99 at 6 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T22:02:48.102244Z,0.0000,finalized,between,"$75,300 to 75,399.99",1,KXBTC-26MAR3018-B75350,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T22:02:48.281431Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,300 to 75,399.99",75399.99
True,2026-03-30T22:00:00Z,2026-03-29T09:02:55.403778Z,KXBTC-26MAR3018,2026-03-30T22:05:00Z,2026-04-06T22:00:00Z,66759.15,75200.0,False,0.0000,2026-04-06T22:00:00Z,0.0000,binary,1.0000,0.0000,"$75,200 to 75,299.99",1.0000,0.00,2026-03-30T21:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 6 PM EDT is between 75200-75299.99 at 6 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T22:02:48.102244Z,0.0000,finalized,between,"$75,200 to 75,299.99",1,KXBTC-26MAR3018-B75250,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T22:02:48.281431Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,200 to 75,299.99",75299.99
True,2026-03-30T22:00:00Z,2026-03-29T09:02:55.403778Z,KXBTC-26MAR3018,2026-03-30T22:05:00Z,2026-04-06T22:00:00Z,66759.15,75100.0,False,0.0000,2026-04-06T22:00:00Z,0.0000,binary,1.0000,0.0000,"$75,100 to 75,199.99",1.0000,0.00,2026-03-30T21:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 6 PM EDT is between 75100-75199.99 at 6 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T22:02:48.102244Z,0.0000,finalized,between,"$75,100 to 75,199.99",1,KXBTC-26MAR3018-B75150,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T22:02:48.281431Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,100 to 75,199.99",75199.99
True,2026-03-30T22:00:00Z,2026-03-29T09:02:55.403778Z,KXBTC-26MAR3018,2026-03-30T22:05:00Z,2026-04-06T22:00:00Z,66759.15,75000.0,False,0.0000,2026-04-06T22:00:00Z,0.0000,binary,1.0000,0.0000,"$75,000 to 75,099.99",1.0000,0.00,2026-03-30T21:00:00Z,0.0000,0.0000,0.0000,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,no,"If the simple average of the sixty seconds of CF Benchmarks' Bitcoin Real-Time Index (BRTI) before 6 PM EDT is between 75000-75099.99 at 6 PM EDT on Mar 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices.",60,2026-03-30T22:02:48.102244Z,0.0000,finalized,between,"$75,000 to 75,099.99",1,KXBTC-26MAR3018-B75050,"Bitcoin price range  on Mar 30, 2026?",2026-03-30T22:02:48.281431Z,0.00,0.00,1.0000,0.00,0.0000,0.00,"$75,000 to 75,099.99",75099.99
