ticker,close_time,strike,result
KXETH-26MAR3112-B2340,2026-04-07 16:00:00+00:00,2340.0,no
KXETH-26MAR3113-B2100,2026-04-07 17:00:00+00:00,2100.0,no
KXETH-26MAR3111-B2100,2026-04-07 15:00:00+00:00,2100.0,no
KXETH-26MAR3110-B2100,2026-04-07 14:00:00+00:00,2100.0,no
KXETH-26MAR3108-B2340,2026-04-07 12:00:00+00:00,2340.0,no
KXETH-26MAR3109-B2100,2026-04-07 13:00:00+00:00,2100.0,no
KXETH-26MAR3107-B2100,2026-04-07 11:00:00+00:00,2100.0,no
KXETH-26MAR3106-B2100,2026-04-07 10:00:00+00:00,2100.0,no
KXETH-26MAR3104-B2340,2026-04-07 08:00:00+00:00,2340.0,no
KXETH-26MAR3105-B2100,2026-04-07 09:00:00+00:00,2100.0,no
KXETH-26MAR3103-B2100,2026-04-07 07:00:00+00:00,2100.0,no
KXETH-26MAR3102-B2100,2026-04-07 06:00:00+00:00,2100.0,no
KXETH-26MAR3100-B2290,2026-04-07 04:00:00+00:00,2290.0,no
KXETH-26MAR3101-B2100,2026-04-07 05:00:00+00:00,2100.0,no
KXETH-26MAR3023-B2090,2026-04-07 03:00:00+00:00,2090.0,no
KXETH-26MAR3022-B2090,2026-04-07 02:00:00+00:00,2090.0,no
KXETH-26MAR3020-B2290,2026-04-07 00:00:00+00:00,2290.0,no
KXETH-26MAR3021-B2090,2026-04-07 01:00:00+00:00,2090.0,no
KXETH-26MAR3019-B2090,2026-04-06 23:00:00+00:00,2090.0,no
KXETH-26MAR3018-B2090,2026-04-06 22:00:00+00:00,2090.0,no
KXETH-26MAR3015-B2290,2026-04-06 19:00:00+00:00,2290.0,no
KXETH-26MAR3016-B2090,2026-04-06 20:00:00+00:00,2090.0,no
KXETH-26MAR3014-B2090,2026-04-06 18:00:00+00:00,2090.0,no
KXETH-26MAR3013-B2090,2026-04-06 17:00:00+00:00,2090.0,no
KXETH-26MAR3011-B2290,2026-04-06 15:00:00+00:00,2290.0,no
KXETH-26MAR3012-B2090,2026-04-06 16:00:00+00:00,2090.0,no
KXETH-26MAR3010-B2090,2026-04-06 14:00:00+00:00,2090.0,no
KXETH-26MAR3009-B2090,2026-04-06 13:00:00+00:00,2090.0,no
KXETH-26MAR3007-B2290,2026-04-06 11:00:00+00:00,2290.0,no
KXETH-26MAR3008-B2090,2026-04-06 12:00:00+00:00,2090.0,no
KXETH-26MAR3006-B2090,2026-04-06 10:00:00+00:00,2090.0,no
KXETH-26MAR3005-B2090,2026-04-06 09:00:00+00:00,2090.0,no
KXETH-26MAR3003-B2290,2026-04-06 07:00:00+00:00,2290.0,no
KXETH-26MAR3004-B2090,2026-04-06 08:00:00+00:00,2090.0,no
KXETH-26MAR3002-B2090,2026-04-06 06:00:00+00:00,2090.0,no
KXETH-26MAR3001-B2090,2026-04-06 05:00:00+00:00,2090.0,no
KXETH-26MAR3017-B2100,2026-04-06 21:00:00+00:00,2100.0,no
KXETH-26MAR3000-B2100,2026-04-06 04:00:00+00:00,2100.0,no
KXETH-26MAR2922-B2540,2026-04-06 02:00:00+00:00,2540.0,no
